"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,6293.275,NA,6293.275
1922,691.44,NA,691.44
1923,85.76,NA,85.76
1924,0,NA,0
1925,345.19,NA,345.19
1926,490.795,NA,490.795
1927,1658.87,NA,1658.87
1928,1021.725,NA,1021.725
1929,1791.125,NA,1791.125
1930,2120.285,NA,2120.285
1931,201.445,NA,201.445
1932,16.75,NA,16.75
1933,46.5,NA,46.5
1935,0,NA,0
1936,0,NA,0
1937,152.35,NA,152.35
1938,238.95,743.063598611306,982.013598611306
1939,242.6,738.393523778989,980.993523778989
1940,167,936.276742125153,1103.27674212515
1941,1091.55,785.727157599719,1877.27715759972
1942,0,572.182816834121,572.182816834121
1943,4359,595.812785670929,4954.81278567093
1944,4541,619.442754507736,5160.44275450774
1945,2961.75,643.072723344543,3604.82272334454
1946,3818.8,666.702692181351,4485.50269218135
1947,1658.75,723.667795627226,2382.41779562723
1948,3380.2,1084.25057098368,4464.45057098367
1949,5646.9,1444.83334634013,7091.73334634012
1950,1229.25,1132.65192054485,2361.90192054485
1951,491.1,1285.91125681937,1777.01125681936
1952,192.8,1330.75650705247,1523.55650705247
1953,10.5,1375.60175728557,1386.10175728557
1954,311.1,1458.58795736722,1769.68795736722
1955,246.4,1541.57415744886,1787.97415744886
1956,84.7,1624.56035753051,1709.26035753051
1957,432.6,1668.86654909952,2101.46654909952
1958,300.9,1451.55522854674,1752.45522854674
1959,711.2,1392.48030645472,2103.68030645472
1960,2189.6,1345.04103419618,3534.64103419618
1961,771.7,1763.80838817598,2535.50838817598
1962,325.5,1827.42574981314,2152.92574981314
1963,566.4,2515.47558705618,3081.87558705618
1964,253,2113.26925453928,2366.26925453928
1965,3.5,1711.06292202239,1714.56292202239
1966,0,4486.59491962408,4486.59491962408
1967,2.8,4073.65779576695,4076.45779576695
1968,4.2,1252.75865549559,1256.95865549559
1969,0,15.6329458239999,15.6329458239999
1970,0,1212.90811319487,1212.90811319487
1971,0,1448.6615122235,1448.6615122235
1972,49,1516.54674423601,1565.54674423601
1973,45,4145.5644675443,4190.5644675443
1974,1295,2865.13827612756,4160.13827612756
1975,404,5649.47135372223,6053.47135372223
1976,2068,15358.9817109468,17426.9817109468
1977,8241,71823.4309743202,80064.4309743202
1978,17232,38472.1555782776,55704.1555782776
1979,6285,16541.1547587153,22826.1547587153
1980,6218,18628.376137782,24846.376137782
1981,3883,5482.25243687777,9365.25243687777
1982,346,6424.76828088193,6770.76828088193
1983,511,6424.00377946843,6935.00377946843
1984,175,1529.13397741882,1704.13397741882
1985,113,628.653631641377,741.653631641377
1986,313,3218.06979930719,3531.06979930719
1987,299,3100.4074652491,3399.4074652491
1988,355,2143.71829258533,2498.71829258533
1989,382,2146.86324642425,2528.86324642425
1990,29,1167.45975747672,1196.45975747672
1991,59,1285.93301983895,1344.93301983895
1992,50,1356.12501567677,1406.12501567677
1993,0,1294.35909357176,1294.35909357176
1994,0,1494.77158351116,1494.77158351116
1995,11,961.350308509889,972.350308509889
1996,25,1035.18278699997,1060.18278699997
1997,0,1297.47431449427,1297.47431449427
1998,0,1188.94753447463,1188.94753447463
1999,0,371.005608711817,371.005608711817
2000,0,258.722008326717,258.722008326717
2001,0,141.186870037563,141.186870037563
2002,58,122.106064579266,180.106064579266
2003,31,0,31
2004,0,0,0
2005,0.15,0,0.15
2006,0,0,0
2007,0,0,0
2008,0,49.0122495589116,49.0122495589116
2009,0,179.86930240152,179.86930240152
2010,0,193.166056845764,193.166056845764
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,443.052948882447,443.052948882447
2015,0,405.357578776066,405.357578776066
2016,0.15,0,0.15
2017,3.9,0,3.9
2018,0,0,0
2019,0,99.709927822412,99.709927822412
2020,0,NA,0
