"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,1573.31875,NA,1573.31875
1922,172.86,NA,172.86
1923,21.44,NA,21.44
1924,0,NA,0
1925,86.2975,NA,86.2975
1926,122.69875,NA,122.69875
1927,414.7175,NA,414.7175
1928,255.43125,NA,255.43125
1929,447.78125,NA,447.78125
1930,530.07125,NA,530.07125
1931,50.36125,NA,50.36125
1932,4.1875,NA,4.1875
1933,11.625,NA,11.625
1935,0,NA,0
1936,0,NA,0
1937,118.9,NA,118.9
1938,190.8,0,190.8
1939,203.7,0,203.7
1940,161.5,0,161.5
1941,1078.9,0,1078.9
1942,0,0,0
1943,4165.1,121.881318318197,4286.9813183182
1944,4298.2,128.108830932996,4426.308830933
1945,2872.9,134.336343547794,3007.23634354779
1946,3799.5,140.563856162592,3940.06385616259
1947,1560.3,152.574059062561,1712.87405906256
1948,3374.3,228.597308952372,3602.89730895237
1949,5635.3,304.620558842182,5939.92055884218
1950,1215.3,238.801978016378,1454.10197801638
1951,484,271.114316862919,755.114316862919
1952,192.8,280.569237890336,473.369237890336
1953,10.5,290.024158917754,300.524158917754
1954,311.1,307.52050388314,618.62050388314
1955,246.4,325.016848848526,571.416848848526
1956,84.7,342.513193813912,427.213193813912
1957,432.6,351.85446273611,784.45446273611
1958,300.9,306.037762784378,606.937762784378
1959,711.2,293.582737554782,1004.78273755478
1960,2189.6,283.580907473086,2473.18090747309
1961,771.7,371.87146756939,1143.57146756939
1962,325.5,385.284195274677,710.784195274677
1963,566.4,530.34876376845,1096.74876376845
1964,253,445.549836548564,698.549836548564
1965,3.5,360.750909328679,364.250909328679
1966,0,4486.59491962408,4486.59491962408
1967,2.8,4073.65779576695,4076.45779576695
1968,4.2,2090.41923776928,2094.61923776928
1969,0,29.67760677024,29.67760677024
1970,0,1203.57153253816,1203.57153253816
1971,0,1448.6615122235,1448.6615122235
1972,49,1202.69117800317,1251.69117800317
1973,0,3608.69277276221,3608.69277276221
1974,1268,2667.59331598427,3935.59331598427
1975,367,5622.88955938193,5989.88955938193
1976,1877,15341.1506725946,17218.1506725946
1977,8175,71443.3161971262,79618.3161971262
1978,17105,38143.8618748985,55248.8618748985
1979,6032,16183.9725763631,22215.9725763631
1980,5937,18485.276257782,24422.276257782
1981,3826,5395.68463740314,9221.68463740314
1982,258,6420.8139643685,6678.8139643685
1983,247,6384.27754412515,6631.27754412515
1984,79,1343.40314809345,1422.40314809345
1985,3,607.307645277198,610.307645277198
1986,271,2814.54644472809,3085.54644472809
1987,44,2251.03492378044,2295.03492378044
1988,355,1386.90604876444,1741.90604876444
1989,382,1449.54882051381,1831.54882051381
1990,29,1004.60049959016,1033.60049959016
1991,59,910.419407229994,969.419407229994
1992,50,883.254665945431,933.254665945431
1993,0,1147.35371578071,1147.35371578071
1994,0,481.597805488795,481.597805488795
1995,11,245.720843541107,256.720843541107
1996,25,268.171441238796,293.171441238796
1997,0,201.603290630427,201.603290630427
1998,0,189.592964872637,189.592964872637
1999,0,86.0293012760784,86.0293012760784
2000,0,67.6773502541792,67.6773502541792
2001,0,46.1103249259538,46.1103249259538
2002,58,34.6973186726908,92.6973186726908
2003,31,0,31
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,1.61925091664782,1.61925091664782
2009,0,2.55857130835645,2.55857130835645
2010,0,6.3840527286488,6.3840527286488
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,15.8737343893268,15.8737343893268
2015,0,10.1117856851461,10.1117856851461
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,3.2937984267522,3.2937984267522
2020,0,NA,0
