"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,3146.6375,NA,3146.6375
1922,345.72,NA,345.72
1923,42.88,NA,42.88
1924,0,NA,0
1925,172.595,NA,172.595
1926,245.3975,NA,245.3975
1927,829.435,NA,829.435
1928,510.8625,NA,510.8625
1929,895.5625,NA,895.5625
1930,1060.1425,NA,1060.1425
1931,100.7225,NA,100.7225
1932,8.375,NA,8.375
1933,23.25,NA,23.25
1935,0,NA,0
1936,0,NA,0
1937,135.625,NA,135.625
1938,214.875,1302.08435579577,1516.95935579577
1939,223.15,1061.3032005688,1284.4532005688
1940,164.25,1564.13365339766,1728.38365339766
1941,1085.225,1263.03448434679,2348.25948434679
1942,0,1180.46922812877,1180.46922812877
1943,4262.05,718.693882946459,4980.74388294646
1944,4419.6,761.815515923246,5181.41551592325
1945,2917.325,807.524446878641,3724.84944687864
1946,3809.15,855.975913691359,4665.12591369136
1947,1609.525,907.334468512841,2516.85946851284
1948,3377.25,961.774536623611,4339.02453662361
1949,5641.1,1019.48100882103,6660.58100882103
1950,1222.275,1080.64986935029,2302.92486935029
1951,487.55,1145.48886151131,1633.03886151131
1952,192.8,1214.21819320199,1407.01819320199
1953,10.5,1287.0712847941,1297.5712847941
1954,311.1,1364.29556188175,1675.39556188175
1955,246.4,1446.15329559466,1692.55329559466
1956,84.7,1532.92249333034,1617.62249333034
1957,432.6,1624.89784293016,2057.49784293016
1958,300.9,1722.39171350596,2023.29171350596
1959,711.2,1825.73521631632,2536.93521631632
1960,2189.6,1935.2793292953,4124.8793292953
1961,771.7,2051.39608905302,2823.09608905302
1962,325.5,2174.4798543962,2499.9798543962
1963,566.4,2304.94864565997,2871.34864565997
1964,253,2443.24556439957,2696.24556439957
1965,3.5,11863.9785482179,11867.4785482179
1966,0,4486.59491962408,4486.59491962408
1967,2.8,4073.65779576695,4076.45779576695
1968,4.2,2090.41923776928,2094.61923776928
1969,0,29.67760677024,29.67760677024
1970,0,1240.06609383467,1240.06609383467
1971,0,1472.14739481715,1472.14739481715
1972,49,1448.79054972568,1497.79054972568
1973,22.5,4287.959885198,4310.459885198
1974,1281.5,3980.11320638782,5261.61320638782
1975,385.5,5808.20852031631,6193.70852031631
1976,1972.5,15355.7752168875,17328.2752168875
1977,8208,71447.4995586853,79655.4995586853
1978,17168.5,38553.3490457962,55721.8490457962
1979,6158.5,16924.7649872294,23083.2649872294
1980,6077.5,18835.7745876427,24913.2745876427
1981,3854.5,5686.48807154943,9540.98807154943
1982,302,6591.9423752756,6893.9423752756
1983,379,6344.35520272416,6723.35520272416
1984,127,2337.4717438539,2464.4717438539
1985,58,1073.86681268847,1131.86681268847
1986,292,3456.3025099274,3748.3025099274
1987,171.5,3193.9341166107,3365.4341166107
1988,355,2578.53456298597,2933.53456298597
1989,382,2403.18685177996,2785.18685177996
1990,29,1657.55914105135,1686.55914105135
1991,59,1711.13205945386,1770.13205945386
1992,50,1330.10448636125,1380.10448636125
1993,0,1480.05716685059,1480.05716685059
1994,0,90.8245771309211,90.8245771309211
1995,11,146.392986933588,157.392986933588
1996,25,233.837937982179,258.837937982179
1997,0,433.994568409163,433.994568409163
1998,0,160.164388452743,160.164388452743
1999,0,75.8231756430269,75.8231756430269
2000,0,37.6127093244366,37.6127093244366
2001,0,42.3142979899912,42.3142979899912
2002,58,34.9228028507453,92.9228028507453
2003,31,0,31
2004,0,0,0
2005,1.5,0,1.5
2006,0,0,0
2007,0,0,0
2008,0,6.47700366659128,6.47700366659128
2009,0,61.4369851165181,61.4369851165181
2010,0,25.5362109145952,25.5362109145952
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,63.4949375573074,63.4949375573074
2015,0,111.17054816626,111.17054816626
2016,1.5,0,1.5
2017,39,0,39
2018,0,0,0
2019,0,13.1751937070088,13.1751937070088
2020,0,NA,0
