"year","CAN_rec_catch_lbs","CAN_comm_catch_lbs","CAN_FSC_catch_lbs","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1918,1984.158,37699.002,1543.234,NA,NA,41226.394
1919,1984.158,93696.35,1543.234,NA,NA,97223.742
1920,1984.158,46958.406,1543.234,NA,NA,50485.798
1921,1984.158,40565.008,1543.234,321.786,NA,44414.186
1922,1984.158,50926.722,1543.234,103.45,NA,54557.564
1923,1984.158,48060.716,1543.234,105.872,NA,51693.98
1924,1984.158,55776.886,1543.234,241.75,NA,59546.028
1925,1984.158,47619.792,1543.234,138.314,NA,51285.498
1926,1984.158,55335.962,1543.234,328.53,NA,59191.884
1927,1984.158,55335.962,1543.234,1134.922,NA,59998.276
1928,1984.158,55997.348,1543.234,284.95,NA,59809.69
1929,1984.158,73193.384,1543.234,447.074,NA,77167.85
1930,1984.158,67461.372,1543.234,1170.476,NA,72159.24
1931,1984.158,43210.552,1543.234,469.93,NA,47207.874
1932,1984.158,50485.798,1763.696,183,NA,54416.652
1933,1984.158,24250.82,1763.696,11.2,NA,28009.874
1934,1984.158,28660.06,1984.158,NA,NA,32628.376
1935,1984.158,36596.692,2204.62,866.28,NA,41651.75
1936,1984.158,39683.16,2425.082,756.68,NA,44849.08
1937,1984.158,31085.142,2425.082,922.9,NA,36417.282
1938,1984.158,108026.38,2645.544,934.54,1168.86408770318,114759.486087703
1939,1984.158,20723.428,2866.006,863.64,1161.51790257369,27598.7499025737
1940,1984.158,22487.124,2866.006,297.76,1906.17125359194,29541.2192535919
1941,1984.158,13889.106,3086.468,375.78,NA,19335.512
1942,1984.158,31966.99,3086.468,0,1025.86067911051,38063.4766791105
1943,1984.158,185188.08,3306.93,3302.36,1068.22660686139,194849.754606861
1944,1984.158,275577.5,3306.93,4635.43,1110.59253461226,286614.610534612
1945,1984.158,295419.08,3527.392,2680.43,1152.95846236314,304764.018462363
1946,2204.62,198415.8,3527.392,3415.73,1195.32439011402,208758.866390114
1947,4409.24,63713.518,3527.392,2415.95,1297.45653737059,75363.5565373706
1948,6834.322,96562.356,3747.854,2475.02,1943.94168148837,111563.493681488
1949,9038.942,130072.58,3747.854,1956.66,2590.42682560614,147406.462825606
1950,11243.562,55115.5,3747.854,1134.02,2030.71996260737,73271.6559626074
1951,13448.182,39683.16,3968.316,912.1,2305.49704812089,60317.2550481209
1952,15873.264,30423.756,3968.316,2149.54,2385.8996353806,54800.7756353806
1953,18077.884,64154.442,4188.778,1863.42,2466.30222264031,90750.8262226403
1954,20282.504,39683.16,4188.778,1951.82,2615.08732605113,68721.3493260511
1955,22487.124,39462.698,4409.24,420,2763.87242946194,69542.9344294619
1956,24912.206,37478.54,4629.702,245,2912.65753287276,70178.1055328728
1957,27116.826,64595.366,4629.702,629,2992.09364740565,99962.9876474057
1958,29321.446,93916.812,4850.164,1469,2602.47841898241,132159.900418982
1959,31526.066,98766.976,5070.626,49,2496.56359960522,137909.231599605
1960,33951.148,77602.624,5070.626,478,2411.51021697322,119513.908216973
1961,37919.464,59304.278,5291.088,613,3162.31389283328,106290.143892833
1962,37919.464,93916.812,5291.088,313,3276.37280528615,140716.736805286
1963,37919.464,72531.998,5291.088,50,4509.97027191654,120302.520271917
1964,37919.464,43210.552,5291.088,727,3788.85868086724,90936.9626808672
1965,37919.464,39462.698,5511.55,65,3067.74708981793,86026.4590898179
1966,37919.464,31746.528,5511.55,56,6483.62368401096,81717.1656840109
1967,37919.464,48060.716,5511.55,27,1958.12716773017,93476.8571677302
1968,37919.464,52029.032,5511.55,2,6825.31895625328,102287.364956253
1969,37919.464,60627.05,5511.55,155,3170.08924563718,107383.153245637
1970,40124.084,76720.776,5511.55,3379,3588.19510095971,129323.60510096
1971,42108.242,64154.442,5511.55,309,1023.06482213619,113106.298822136
1972,44092.4,71870.612,5511.55,3245,19399.7486396107,144119.310639611
1973,46076.558,85759.718,5732.012,4648,13197.921813548,155414.209813548
1974,48060.716,42769.628,5732.012,8801,6359.03250455638,111722.388504556
1975,50044.874,34171.61,5732.012,9602,5326.48782927864,104876.983829279
1976,52029.032,42328.704,5732.012,9330,6736.45464516866,116156.202645169
1977,54013.19,117065.322,5952.474,8177,6703.89680991955,191911.88280992
1978,55997.348,132718.124,5952.474,11958,13401.8923869543,220027.838386954
1979,57981.506,209438.9,5952.474,11172,17105.2566622197,301650.13666222
1980,59965.664,154323.4,5952.474,14790,17195.8135016417,252227.351501642
1981,35053.458,178574.22,5952.474,12094,4309.35851555789,235983.510515558
1982,73641.4311051738,121033.638,6172.936,11274,17636.4511905294,229758.456295703
1983,65109.1445118598,113537.93,6172.936,7006,12967.9392159212,204793.949727781
1984,48552.4354589252,164905.576,6393.398,2707,6942.80053935344,229501.209998279
1985,54770.9610825058,263672.552,6393.398,3145,5234.67736266771,333216.588445173
1986,70836.5208132934,299828.32,6834.322,2564,6990.62558818749,387053.788401481
1987,47668.0502940444,288805.22,7936.632,5104,7554.56511213732,357068.467406182
1988,72456.8745593748,383603.88,8377.556,17187,7040.0878615911,488665.398420966
1989,79711.5655422966,383603.88,8818.48,17597,5534.76511783455,495265.690660131
1990,64623.2864981748,383603.88,9259.404,13393,3548.77808094818,474428.348579123
1991,73390.3271358862,319669.9,9700.328,8339,3749.39268869057,414848.947824577
1992,57944.179358318,96562.356,9920.79,9607,3248.46932627871,177282.794684597
1993,37503.7580308864,123017.796,10361.714,3451,3164.37583137637,177498.643862263
1994,58685.198547569,266979.482,10582.176,822,3022.61743354518,340091.473981114
1995,46757.5232743124,133820.434,10802.638,962,3328.15888829935,195670.754162612
1996,43616.0042814936,57981.506,11023.1,229,3622.8246957288,116472.434977222
1997,34477.6428041122,46076.558,11243.562,15,3667.52969843295,95480.2925025451
1998,31497.217224528,71209.226,11464.024,18,3198.06536446706,117386.532588995
1999,25074.8976304574,44092.4,11684.486,124,1578.85352027505,82554.6371507324
2000,35264.5724112,55115.5,11904.948,54,923.144686599051,103262.165097799
2001,48488.7870654,61729.36,12125.41,126,682.682865171516,123152.239930572
2002,18466.6907832,15652.802,12345.872,3,405.644430336567,46874.0092135366
2003,20843.6459286,23368.972,12566.334,0,2633.41016483205,59412.362093432
2004,16940.6087268,21384.814,13007.258,0,96.4440426530841,51429.1247694531
2005,8536.178409,23809.896,5952.474,0,409.497861662801,38708.0462706628
2006,13570.0533936,9038.942,5952.474,0,181.835312254096,28743.3047058541
2007,5220.5181138,16579.1171854,6172.936,0,795.664279485942,28768.2355786859
2008,9809.7432906,20828.3017734,6172.936,0,144.797798642645,36955.7788626426
2009,9107.0868042,14231.9685024,6172.936,0,531.593791090227,30043.5850976902
2010,10150.0925262,14368.390388,6172.936,0,104.931781240043,30796.35069544
2011,10550.8263036,14878.649687,6172.936,20,39.6361722149575,31662.048162815
2012,11182.1192406,11249.3821968,6172.936,0,120.787952122291,28725.2253895223
2013,24565.529505,11324.9345242,6172.936,0,3.1531887797107,42066.5532179797
2014,4188.4913994,11173.5873612,6172.936,0,81.8069335449371,21616.8216941449
2015,13460.2633176,12097.6979266,6172.936,0,0,31730.8972442
2016,19674.3816192,9456.0781502,6172.936,20,163.650061653156,35487.0458310532
2017,22715.5667244,15440.607325,6172.936,0,878.800625442818,45207.9106748428
2018,17160.1888788,5987.086534,6172.936,53,89.9714454612138,29463.1828582612
2019,10759.427448,6081.0694846,6172.936,9,195.801554769793,23218.2344873698
