"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,44.635,NA,44.635
1922,61.92,NA,61.92
1923,7.68,NA,7.68
1924,0,NA,0
1925,19.17,NA,19.17
1926,4.81,NA,4.81
1927,15.63,NA,15.63
1928,9.3,NA,9.3
1929,28.1,NA,28.1
1930,21.41,NA,21.41
1931,12.56,NA,12.56
1932,1.5,NA,1.5
1933,0.25,NA,0.25
1935,0,NA,0
1936,0,NA,0
1937,47.4,NA,47.4
1938,381.6,170.533043413413,552.133043413412
1939,0,174.581778686039,174.581778686039
1940,15,299.110739606716,314.110739606716
1941,90,315.62557436506,405.62557436506
1942,0,385.073332287827,385.073332287827
1943,446,400.976065774639,846.976065774639
1944,344.8,416.878799261452,761.678799261452
1945,224.1,432.781532748265,656.881532748265
1946,304,448.684266235078,752.684266235078
1947,239.6,487.021213033645,726.621213033645
1948,670,729.689826607817,1399.68982660782
1949,127.1,972.35844018199,1099.45844018199
1950,221.6,762.263452404333,983.863452404333
1951,134.2,865.405458048581,999.605458048581
1952,91.1,895.585864444023,986.685864444023
1953,0,925.766270839465,925.766270839465
1954,53.7,981.615156299106,1035.31515629911
1955,0,1037.46404175875,1037.46404175875
1956,0,1093.31292721839,1093.31292721839
1957,0,1123.13055250616,1123.13055250616
1958,0,976.882199904221,976.882199904221
1959,0,937.125366187189,937.125366187189
1960,0,905.199208825493,905.199208825493
1961,0,1187.02546383711,1187.02546383711
1962,0,1229.83931408959,1229.83931408959
1963,0,1692.88999616571,1692.88999616571
1964,0,1422.20914352059,1422.20914352059
1965,20,1151.52829087547,1171.52829087547
1966,0,0,0
1967,0,307.023930019258,307.023930019258
1968,0,713.771271052179,713.771271052179
1969,0,362.748691171633,362.748691171633
1970,0,210.560995051282,210.560995051282
1971,0,26.0032102564102,26.0032102564102
1972,0,1434.27206971795,1434.27206971795
1973,0,150.558587384615,150.558587384615
1974,0,543.20706225641,543.20706225641
1975,0,112.333868307692,112.333868307692
1976,109,339.926966076923,448.926966076923
1977,631,869.807383076923,1500.80738307692
1978,77,120.719903615385,197.719903615385
1979,291,409.810593641026,700.810593641026
1980,211,4916.42696317949,5127.42696317949
1981,18,108.303370717949,126.303370717949
1982,0,13.6516853846154,13.6516853846154
1983,5,2057.17897141026,2062.17897141026
1984,0,334.726324025641,334.726324025641
1985,0,649.755216282051,649.755216282051
1986,0,382.052166692308,382.052166692308
1987,0,199.379614641026,199.379614641026
1988,0,281.679775102564,281.679775102564
1989,12,637.598715487179,649.598715487179
1990,0,120.134831384615,120.134831384615
1991,0,85.6155697692307,85.6155697692307
1992,0,193.203852205128,193.203852205128
1993,0,7.67094702564102,7.67094702564102
1994,0,0,0
1995,0,0,0
1996,0,7.41091492307692,7.41091492307692
1997,0,996.378009,996.378009
1998,0,202.044943692308,202.044943692308
1999,0,572.980738,572.980738
2000,0,687.459871153846,687.459871153846
2001,0,209.455858615385,209.455858615385
2002,0,264.257624230769,264.257624230769
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,25.5878812037037,25.5878812037037
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,15.6859017775575,15.6859017775575
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,NA,0
