"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,11.15875,NA,11.15875
1922,15.48,NA,15.48
1923,1.92,NA,1.92
1924,0,NA,0
1925,4.7925,NA,4.7925
1926,1.2025,NA,1.2025
1927,3.9075,NA,3.9075
1928,2.325,NA,2.325
1929,7.025,NA,7.025
1930,5.3525,NA,5.3525
1931,3.14,NA,3.14
1932,0.375,NA,0.375
1933,0.0625,NA,0.0625
1935,0,NA,0
1936,0,NA,0
1937,11.85,NA,11.85
1938,95.4,55.6601946525323,151.060194652532
1939,0,55.3103763130329,55.3103763130329
1940,3.75,82.5478815883609,86.2978815883609
1941,22.5,137.018232283392,159.518232283392
1942,0,117.460052339126,117.460052339126
1943,111.5,122.310909957851,233.810909957851
1944,86.2,127.161767576576,213.361767576576
1945,56.025,132.012625195301,188.037625195301
1946,76,136.863482814026,212.863482814026
1947,59.9,148.557514573452,208.457514573452
1948,167.5,222.579436273759,390.079436273759
1949,31.775,296.601357974065,328.376357974065
1950,55.4,232.515465258685,287.915465258685
1951,33.55,263.977174926703,297.527174926703
1952,22.775,273.183193151239,295.958193151239
1953,0,282.389211375776,282.389211375776
1954,13.425,299.424961346298,312.849961346298
1955,0,316.46071131682,316.46071131682
1956,0,333.496461287342,333.496461287342
1957,0,342.591819322452,342.591819322452
1958,0,297.981253721677,297.981253721677
1959,0,285.854109674865,285.854109674865
1960,0,276.115579892987,276.115579892987
1961,0,362.081872254829,362.081872254829
1962,0,375.141507056384,375.141507056384
1963,0,516.387219994183,516.387219994183
1964,0,433.820642532179,433.820642532179
1965,20,351.254065070175,371.254065070175
1966,0,0,0
1967,0,307.023930019258,307.023930019258
1968,0,713.771271052179,713.771271052179
1969,0,362.748691171633,362.748691171633
1970,0,210.560995051282,210.560995051282
1971,0,26.0032102564102,26.0032102564102
1972,0,1434.27206971795,1434.27206971795
1973,0,150.558587384615,150.558587384615
1974,0,543.20706225641,543.20706225641
1975,0,112.333868307692,112.333868307692
1976,109,339.926966076923,448.926966076923
1977,631,869.807383076923,1500.80738307692
1978,77,120.719903615385,197.719903615385
1979,291,409.810593641026,700.810593641026
1980,211,4916.42696317949,5127.42696317949
1981,18,108.303370717949,126.303370717949
1982,0,13.6516853846154,13.6516853846154
1983,5,2057.17897141026,2062.17897141026
1984,0,334.726324025641,334.726324025641
1985,0,649.755216282051,649.755216282051
1986,0,382.052166692308,382.052166692308
1987,0,199.379614641026,199.379614641026
1988,0,281.679775102564,281.679775102564
1989,12,637.598715487179,649.598715487179
1990,0,120.134831384615,120.134831384615
1991,0,85.6155697692307,85.6155697692307
1992,0,193.203852205128,193.203852205128
1993,0,7.67094702564102,7.67094702564102
1994,0,0,0
1995,0,0,0
1996,0,2.47030497435897,2.47030497435897
1997,0,332.126003,332.126003
1998,0,67.3483145641026,67.3483145641026
1999,0,190.993579333333,190.993579333333
2000,0,229.153290384615,229.153290384615
2001,0,69.8186195384615,69.8186195384615
2002,0,88.0858747435897,88.0858747435897
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,-0.0676770133013162,-0.0676770133013162
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,0.00017682907783258,0.00017682907783258
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,NA,0
