"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,22.3175,NA,22.3175
1922,30.96,NA,30.96
1923,3.84,NA,3.84
1924,0,NA,0
1925,9.585,NA,9.585
1926,2.405,NA,2.405
1927,7.815,NA,7.815
1928,4.65,NA,4.65
1929,14.05,NA,14.05
1930,10.705,NA,10.705
1931,6.28,NA,6.28
1932,0.75,NA,0.75
1933,0.125,NA,0.125
1935,0,NA,0
1936,0,NA,0
1937,23.7,NA,23.7
1938,190.8,88.2001922989943,279.000192298994
1939,0,87.6458635725827,87.6458635725827
1940,7.5,132.95574579855,140.45574579855
1941,45,175.08672931789,220.08672931789
1942,0,251.266692313476,251.266692313476
1943,223,261.643487866245,484.643487866245
1944,172.4,272.020283419014,444.420283419014
1945,112.05,282.397078971783,394.447078971783
1946,152,292.773874524552,444.773874524552
1947,119.8,317.789363803549,437.589363803549
1948,335,476.134631440788,811.134631440788
1949,63.55,634.479899078027,698.029899078027
1950,110.8,497.389458831509,608.189458831509
1951,67.1,564.691316487642,631.791316487642
1952,45.55,584.384528797631,629.934528797631
1953,0,604.07774110762,604.07774110762
1954,26.85,640.520058822702,667.370058822702
1955,0,676.962376537783,676.962376537783
1956,0,713.404694252864,713.404694252864
1957,0,732.861185914306,732.861185914306
1958,0,637.431726812949,637.431726812949
1959,0,611.489737931027,611.489737931027
1960,0,590.65739435924,590.65739435924
1961,0,774.553668045967,774.553668045967
1962,0,802.490410572989,802.490410572989
1963,0,1104.63860807994,1104.63860807994
1964,0,928.014893026383,928.014893026383
1965,20,751.391177972822,771.391177972822
1966,0,0,0
1967,0,307.023930019258,307.023930019258
1968,0,713.771271052179,713.771271052179
1969,0,362.748691171633,362.748691171633
1970,0,210.560995051282,210.560995051282
1971,0,26.0032102564102,26.0032102564102
1972,0,1434.27206971795,1434.27206971795
1973,0,150.558587384615,150.558587384615
1974,0,543.20706225641,543.20706225641
1975,0,112.333868307692,112.333868307692
1976,109,339.926966076923,448.926966076923
1977,631,869.807383076923,1500.80738307692
1978,77,120.719903615385,197.719903615385
1979,291,409.810593641026,700.810593641026
1980,211,4916.42696317949,5127.42696317949
1981,18,108.303370717949,126.303370717949
1982,0,13.6516853846154,13.6516853846154
1983,5,2057.17897141026,2062.17897141026
1984,0,334.726324025641,334.726324025641
1985,0,649.755216282051,649.755216282051
1986,0,382.052166692308,382.052166692308
1987,0,199.379614641026,199.379614641026
1988,0,281.679775102564,281.679775102564
1989,12,637.598715487179,649.598715487179
1990,0,120.134831384615,120.134831384615
1991,0,85.6155697692307,85.6155697692307
1992,0,193.203852205128,193.203852205128
1993,0,7.67094702564102,7.67094702564102
1994,0,0,0
1995,0,0,0
1996,0,4.94060994871795,4.94060994871795
1997,0,664.252006,664.252006
1998,0,134.696629128205,134.696629128205
1999,0,381.987158666667,381.987158666667
2000,0,458.306580769231,458.306580769231
2001,0,139.637239076923,139.637239076923
2002,0,176.171749487179,176.171749487179
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,10.2351524814815,10.2351524814815
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,6.27436071102301,6.27436071102301
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,NA,0
