"year","US_comm_catch_lbs","US_rec_catch_lbs","total_catch_lbs"
1921,321.786,NA,321.786
1922,103.45,NA,103.45
1923,105.872,NA,105.872
1924,241.75,NA,241.75
1925,138.314,NA,138.314
1926,328.53,NA,328.53
1927,1134.922,NA,1134.922
1928,284.95,NA,284.95
1929,447.074,NA,447.074
1930,1170.476,NA,1170.476
1931,469.93,NA,469.93
1932,183,NA,183
1933,11.2,NA,11.2
1935,866.28,NA,866.28
1936,756.68,NA,756.68
1937,922.9,NA,922.9
1938,934.54,2788.82301176551,3723.36301176551
1939,863.64,2767.06779231591,3630.70779231591
1940,297.76,2230.65836860121,2528.41836860121
1941,375.78,2231.47873632815,2607.25873632815
1942,0,3843.71453677245,3843.71453677245
1943,3302.36,2344.35806802727,5646.71806802727
1944,4635.43,2464.14278683158,7099.57278683158
1945,2680.43,2583.92750563589,5264.35750563589
1946,3415.73,2703.7122244402,6119.4422244402
1947,2415.95,2934.72561070567,5350.67561070567
1948,2475.02,4397.014677612,6872.034677612
1949,1956.66,5859.30374451834,7815.96374451834
1950,1134.02,4593.29905147555,5727.31905147556
1951,912.1,5214.81917709442,6126.91917709442
1952,2149.54,5396.68232641907,7546.22232641907
1953,1863.42,5578.54547574371,7441.96547574371
1954,1951.82,5915.08349524155,7866.90349524155
1955,420,6251.62151473938,6671.62151473938
1956,245,6588.15953423721,6833.15953423721
1957,629,6767.83661244368,7396.83661244368
1958,1469,5886.56332409766,7355.56332409766
1959,49,5646.99388648904,5695.99388648904
1960,478,5454.61107203797,5932.61107203797
1961,613,7152.85892288611,7765.85892288611
1962,313,7410.84953903657,7723.84953903657
1963,50,10201.1318909669,10251.1318909669
1964,727,8570.04476513695,9297.04476513695
1965,65,30381.6680061059,30446.6680061059
1966,56,6483.62368401096,6539.62368401096
1967,27,1958.12716773017,1985.12716773017
1968,2,7056.30849473,7058.30849473
1969,155,3181.0136137164,3336.0136137164
1970,3379,4424.74293680631,7803.74293680631
1971,309,833.236064378026,1142.23606437803
1972,3245,19700.6833937036,22945.6833937036
1973,4648,14128.2037851344,18776.2037851344
1974,8801,6192.42526541743,14993.4252654174
1975,9602,5608.9845927663,15210.9845927663
1976,9330,7475.87956765096,16805.879567651
1977,8177,8620.91701349962,16797.9170134996
1978,11958,13963.6929464826,25921.6929464826
1979,11172,18232.065040111,29404.065040111
1980,14790,23618.4029652669,38408.4029652669
1981,12094,5619.93836679042,17713.9383667904
1982,11274,18675.0415314311,29949.0415314311
1983,7006,16896.1974179853,23902.1974179853
1984,2707,8346.32531280591,11053.3253128059
1985,3145,7157.79783709223,10302.7978370922
1986,2564,9228.71475166491,11792.7147516649
1987,5104,11320.3925621188,16424.3925621188
1988,17187,8171.06538397416,25358.0653839742
1989,17597,6565.8929211767,24162.8929211767
1990,13393,4531.98810089845,17924.9881008985
1991,8339,12178.3446778206,20517.3446778206
1992,9607,4731.80558678103,14338.805586781
1993,3451,5684.59786822995,9135.59786822995
1994,822,7881.99801582999,8703.99801582999
1995,962,5772.13297775449,6734.13297775449
1996,229,6605.79013847849,6834.79013847849
1997,15,8600.64657002966,8615.64657002966
1998,18,4438.02257533374,4456.02257533374
1999,124,2973.01685890957,3097.01685890957
2000,54,2544.17441010629,2598.17441010629
2001,126,1449.20049182777,1575.20049182777
2002,3,1331.94349143407,1334.94349143407
2003,0,876.843084701726,876.843084701726
2004,0,31.8773380293984,31.8773380293984
2005,0,158.872399728057,158.872399728057
2006,0,63.0862527853739,63.0862527853739
2007,0,396.449193988504,396.449193988504
2008,0,47.8498967989572,47.8498967989572
2009,0,197.566517787206,197.566517787206
2010,0,34.676363587725,34.676363587725
2011,20,13.0960825297281,33.0960825297281
2012,0,39.9193556547912,39.9193556547912
2013,0,1.04168351071791,1.04168351071791
2014,0,27.0293500380215,27.0293500380215
2015,0,0,0
2016,20,54.0290905876612,74.0290905876612
2017,0,295.41369134495,295.41369134495
2018,53,29.735162697978,82.735162697978
2019,9,64.6995353925225,73.6995353925225
2020,0,NA,0
