"","year","total_catch_lbs"
"1",1921,154.208262186043
"2",1922,336.018296999909
"3",1923,205.57533728201
"4",1924,426.085062070847
"5",1925,279.217955841706
"6",1926,551.341938284924
"7",1927,1905.16943744288
"8",1928,442.534935812452
"9",1929,719.134368271117
"10",1930,1946.11658929114
"11",1931,853.909064340149
"12",1932,311.867069652415
"13",1933,16.4189615553083
"14",1943,3198.51555992812
"15",1944,7046.37840139546
"16",1945,7018.09970142971
"17",1946,9318.68344397071
"18",1947,3976.4886370302
"19",1948,2928.85551581938
"20",1949,3126.52133550199
"21",1950,1951.35461741049
"22",1951,2896.27931136417
"23",1952,3540.17261559958
"24",1953,1767.79798447376
"25",1954,16668.8471032347
"26",1955,1384.36
"27",1956,1359.18
"28",1957,1700.54
"29",1958,2844.19
"30",1959,1777.91
"31",1960,4939.52
"32",1961,3445.85
"33",1962,2259.16
"34",1963,2696.95
"35",1964,3155.36
"36",1965,3154.48
"37",1966,3425.66
"38",1967,606.48
"39",1968,835.28
"40",1969,1430.36
"41",1970,8039.6958045934
"42",1971,2766.6578839978
"43",1972,28532.843154937
"44",1973,26476.3385917982
"45",1974,25185.0414287924
"46",1975,19000.1167723806
"47",1976,18329.9265973518
"48",1977,24276.5808313802
"49",1978,29704.2331587486
"50",1979,34690.7793241148
"51",1980,46812.8088399186
"52",1981,26610.5242953038
"53",1982,36415.1240845644
"54",1983,26810.5736675578
"55",1984,16356.012189593
"56",1985,15733.4309283062
"57",1986,28302.19333844
"58",1987,31430.6298515506
"59",1988,37559.6201793972
"60",1989,35628.6764434796
"61",1990,25833.0334807276
"62",1991,28009.4733570488
"63",1992,20586.545637511
"64",1993,16050.146682232
"65",1994,4438.2649941792
"66",1995,4156.6039055216
"67",1996,4338.4675450708
"68",1997,6251.4699076086
"69",1998,2799.8478502452
"70",1999,1772.3073796948
"71",2000,1278.0100725798
"72",2001,966.0896532402
"73",2002,747.978907233
"74",2003,0
"75",2004,0
"76",2005,10
"77",2006,15
"78",2007,118.713913746282
"79",2008,0
"80",2009,0
"81",2010,0
"82",2011,58
"83",2012,0
"84",2013,11
"85",2014,50
"86",2015,45
"87",2016,20
"88",2017,471
"89",2018,170
"90",2019,563
"91",2020,267
