index,Waypoint on GPS,Final Waypoint,Fishing day,set,Date,Biologist,Captain,Region,Site,Lumped site,Latitude,Longitude,Anglers,Bait type,Species or lure type,Color of lure,Size of bait (cm),Depth (ft),Species,Length,Weight,Sex,Fin clip #,Floy tag,Take or Released,"Notes (stomach, eyes, etc.)",taxa,Other notes/ Blood vial number,,,,,,,,,,,,,,,,,,,
1,14,14,1,1.6,3/31/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64001385,-122.4273651,4,Live large,Pacific sanddab,NA,20,93,lingcod,86,5.8,F,5A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
2,28,28,1,1.12,3/31/17,KA,SK,CPS,South Blake,South Blake,47.53113276,-122.4920322,4,Herring,NA,NA,6,39,copper rockfish,39,1.1,M,21A,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
3,29,29,1,1.13,3/31/17,KA,SK,CPS,South Blake,South Blake,47.52990514,-122.4957336,4,Herring,NA,NA,6,60,lingcod,81,5.2,F,65A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
4,40,40,1,1.18,3/31/17,KA,SK,CPS,Blakely Rocks/Pt. Glover/Boeing Creek,Blakely rocks,47.59793217,-122.483267,4,Artificial lure,PWD,Green,6,45,rock sole,30,0.35,F,56A,NA,Take,kept for bait,flatfish,,,,,,,,,,,,,,,,,,,,
5,46,46,1,1.2,3/31/17,KA,SK,CPS,Blakely Rocks/Pt. Glover/Boeing Creek,Blakely rocks,47.74874482,-122.386701,4,Artificial lure,PWD,Green,6,71,rock sole,30,0.28,F,23A,NA,Take,kept for bait,flatfish,,,,,,,,,,,,,,,,,,,,
6,47,47,1,1.2,3/31/17,KA,SK,CPS,Blakely Rocks/Pt. Glover/Boeing Creek,Blakely rocks,47.74865077,-122.3866759,4,Artificial lure,PWD,Green,6,73,rock sole,33,0.4,F,38A,NA,Take,kept for bait,flatfish,,,,,,,,,,,,,,,,,,,,
7,48,48,1,1.2,3/31/17,KA,SK,CPS,Blakely Rocks/Pt. Glover/Boeing Creek,Blakely rocks,47.74833536,-122.3868061,4,Artificial lure,PWD,Green,6,103,rock sole,27,0.26,F,54A,NA,Take,kept for bait,flatfish,,,,,,,,,,,,,,,,,,,,
8,49,49,1,1.2,3/31/17,KA,SK,CPS,Blakely Rocks/Pt. Glover/Boeing Creek,Blakely rocks,47.7480596,-122.3864758,4,Artificial lure,PWD,Green,6,105,rock sole,25,0.18,M,34A,NA,Take,kept for bait,flatfish,,,,,,,,,,,,,,,,,,,,
9,66,66,2,2.2,4/11/17,KA,SK,CPS,Klas rock,Klas rock,47.96217724,-122.6762783,3,Artificial lure,PWD,Green,6,62,copper rockfish,37,1.05,F,11A,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
10,69,69,2,2.3,4/11/17,KA,SK,CPS,Klas rock,Klas rock,47.96171749,-122.6762071,3,Artificial lure,PWD,Green,6,62.5,brown rockfish,29,0.5,F,20A,NA,Released,eggs (no eyes); swam down,rockfish,,,,,,,,,,,,,,,,,,,,
11,69,69,2,2.3,4/11/17,KA,SK,CPS,Klas rock,Klas rock,47.96171749,-122.6762071,3,Artificial lure,PWD,Green,6,62.5,quillback rockfish,32,0.5,F,13A,NA,Released,bright yellow coloring; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
12,74,74,2,2.5,4/11/17,KA,SK,CPS,Klas rock,Klas rock,47.96047857,-122.675662,4,Artificial lure,PWD,Green,6,79,rock sole,30,0.3,F,NA,NA,Take,kept for bait,flatfish,,,,,,,,,,,,,,,,,,,,
13,79,79,2,2.6,4/11/17,KA,SK,CPS,Klas rock,Klas rock,47.9583447,-122.6744854,3,Artificial lure,PWD,Green,6,86,quillback rockfish,32,0.6,M,43A,NA,Released,bright yellow coloring; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
14,80,80,2,2.6,4/11/17,KA,SK,CPS,Klas rock,Klas rock,47.95793206,-122.6742022,3,Artificial lure,PWD,Green,6,84,lingcod,56,1.9,M,37A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
15,89,89,2,2.1,4/11/17,KA,SK,CPS,Klas rock,Klas rock,47.96557485,-122.67724,4,Artificial lure,PWD,Green,6,69,rock sole,32,0.4,F,17A,NA,Take,kept for bait,flatfish,,,,,,,,,,,,,,,,,,,,
16,92,92,2,2.11,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.1350902,-122.6713395,2,Live large,Pacific sanddab,NA,24,117,lingcod,74,3.7,M,1A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
17,98,98,2,2.13,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.13510621,-122.6728997,3,Live large,Pacific sanddab,NA,25,150,lingcod,73,4.5,F,46A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
18,99,99,2,2.13,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.13532247,-122.6727948,3,Live large,Rock sole,NA,32,140,lingcod,94,9.5,F,33A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
19,104,104,2,2.15,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.13630214,-122.6755523,3,Live large,Pacific sanddab,NA,23,143,lingcod,74,4.5,M,44A,103,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
20,106,106,2,2.15,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.13500639,-122.6734395,3,Live large,Pacific sanddab,NA,31,135,lingcod,87,7.2,F,51A,104,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
21,107,107,2,2.15,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.13515877,-122.6733568,3,Live large,Pacific sanddab,NA,21,135,lingcod,69,3.3,M,41A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
22,109,109,2,2.16,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.13582622,-122.6727566,3,Live large,Pacific sanddab,NA,29,100,lingcod,NA,NA,NA,NA,NA,Released,Got out of the net upon retrieval,lingcod,,,,,,,,,,,,,,,,,,,,
23,110,110,2,2.16,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.13517235,-122.6716776,3,Live large,Pacific sanddab,NA,24,123,lingcod,77,5.3,M,9A,105,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
24,110,110,2,2.16,4/11/17,KA,SK,CPS,Keystone,Keystone east,48.13517235,-122.6716776,3,Live large,Pacific sanddab,NA,24,123,lingcod,91,7.7,F,69A,106,Released,"Caught by fisherman on May 1, 2017",lingcod,,,,,,,,,,,,,,,,,,,,
25,112,112,2,2.17,4/11/17,KA,SK,CPS,Possession offshore,Possession offshore,47.8913577,-122.4218731,4,Herring,NA,NA,6,50,copper rockfish,50,2.5,M,6A,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
26,115,115,2,2.18,4/11/17,KA,SK,CPS,Possession offshore,Possession offshore,47.89035271,-122.4226896,4,Herring,NA,NA,6,54,cabezon,40,1.05,U,30A,NA,Released,good; swam down,groundfish,,,,,,,,,,,,,,,,,,,,
27,121,121,2,2.2,4/11/17,KA,SK,CPS,Possession offshore,Possession offshore,47.8916789,-122.4225652,4,Herring,NA,NA,6,58,copper rockfish,50,2.5,F,19A,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
28,138,138,3,3.6,4/17/17,KA,SK,SJI,Peapod/Buckeye/Sisters,Point Lawrence,48.63931516,-122.7543911,3,Live large,Pacific sanddab,NA,28,100,lingcod,65,2.4,F,26A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
29,154,154,3,3.13,4/17/17,KA,SK,SJI,Point Lawrence,Point Lawrence,48.66956863,-122.7450657,4,Artificial lure,Jigs,Motor oil w/green skirt,8,185,lingcod,68,3.2,F,42A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
30,155,155,3,3.14,4/17/17,KA,SK,SJI,Point Lawrence,Point Lawrence,48.67208454,-122.7435723,3,Artificial lure,Jigs,Motor oil w/green skirt,8,220,lingcod,67,3.2,F,58A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
31,155,155,3,3.14,4/17/17,KA,SK,SJI,Point Lawrence,Point Lawrence,48.67208454,-122.7435723,3,Artificial lure,Jigs,Motor oil w/green skirt,8,220,lingcod,84,6.5,F,25A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
32,160,160,3,3.16,4/17/17,KA,SK,SJI,Point Lawrence,Point Lawrence,48.67248402,-122.743963,3,Artificial lure,Jigs,Motor oil w/green skirt,8,115,lingcod,65,3,F,55A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
33,167,167,3,3.19,4/17/17,KA,SK,SJI,Point Lawrence,Point Lawrence,48.67538156,-122.7368743,4,Artificial lure,Jigs,Motor oil w/green skirt,8,220,lingcod,93,9,F,NA,108,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
34,167,167,3,3.19,4/17/17,KA,SK,SJI,Point Lawrence,Point Lawrence,48.67538156,-122.7368743,4,Artificial lure,Jigs,Motor oil w/green skirt,8,220,lingcod,95,9.5,F,73A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
35,169,169,3,3.2,4/17/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55875132,-122.7368378,4,Herring,NA,NA,6,180,quillback rockfish,31,0.65,M,NA,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
36,170,170,3,3.2,4/17/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55869642,-122.7367804,4,Herring,NA,NA,6,180,copper rockfish,44,1.8,F,NA,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
37,172,172,3,3.21,4/17/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55879264,-122.7368306,3,Herring,NA,NA,6,190,copper rockfish,39,1.1,M,NA,NA,Released,everted; good eyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
38,173,173,3,3.21,4/17/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55857782,-122.7367544,3,Herring,NA,NA,6,180,quillback rockfish,40,1.4,F,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
39,175,175,3,3.22,4/17/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55861746,-122.7366434,4,Herring,NA,NA,6,150,copper rockfish,38,1.1,M,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
