"","set","mean_depth","yelloweye_catch","bocaccio_catch","bait","lure","effort_sec","date","month","start_time","end_time","avg_anglers","Site","basin","survey","angler_hours"
"1","PW_74_001_H78",61.729728,0,0,"Herring","Hook only",6600,1974-05-03,5,09:10:00,11:00:00,4,"H78","Central Sound","Percy_Washington",7.33333333333333
"2","PW_74_002_L73",32.779998,0,0,"Herring","Hook only",5400,1974-05-03,5,11:30:00,13:00:00,4,"L73","Central Sound","Percy_Washington",6
"3","PW_74_003_I82",6.083333,0,0,"Herring","Hook only",5400,1974-05-03,5,14:00:00,15:30:00,4,"I82","Central Sound","Percy_Washington",6
"4","PW_74_006_M86",26.421052,0,0,"Herring","Hook only",5400,1974-05-08,5,12:00:00,13:30:00,4,"M86","Central Sound","Percy_Washington",6
"5","PW_74_008_I79",45.324325,0,0,"Herring","Hook only",9000,1974-05-15,5,09:15:00,11:45:00,2,"I79","Central Sound","Percy_Washington",5
"6","PW_74_009_H78",61.729728,0,0,"Herring","Hook only",7800,1974-05-15,5,13:10:00,15:20:00,2,"H78","Central Sound","Percy_Washington",4.33333333333333
"7","PW_74_010_L73",27.4533316666667,0,0,"Herring","Hook only",10800,1974-05-21,5,10:30:00,13:30:00,5,"L73","Central Sound","Percy_Washington",15
"8","PW_74_012_H66",16.799999,0,0,"Herring","Hook only",16200,1974-05-30,5,13:00:00,17:30:00,2,"H66","Central Sound","Percy_Washington",9
"9","PW_74_013_H66",16.799999,0,0,"Herring","Hook only",5400,1974-05-31,5,11:45:00,13:15:00,2,"H66","Central Sound","Percy_Washington",3
"10","PW_74_014_N86",18.72093,0,0,"Herring","Hook only",4200,1974-06-05,6,11:00:00,12:10:00,2,"N86","Central Sound","Percy_Washington",2.33333333333333
"11","PW_74_015_N86",18.72093,0,0,"Herring","Hook only",11700,1974-06-06,6,12:00:00,15:15:00,2,"N86","Central Sound","Percy_Washington",6.5
"12","PW_74_016_H78",61.729728,0,0,"Herring","Hook only",12000,1974-06-12,6,11:30:00,14:50:00,2,"H78","Central Sound","Percy_Washington",6.66666666666667
"13","PW_74_017_J67",23.163265,0,0,"Herring","Hook only",18900,1974-06-14,6,09:30:00,14:45:00,2,"J67","Central Sound","Percy_Washington",10.5
"14","PW_74_018_H78",61.729728,0,0,"Herring","Hook only",2700,1974-06-28,6,07:40:00,08:25:00,3,"H78","Central Sound","Percy_Washington",2.25
"15","PW_74_019_H78",61.729728,0,0,"Herring","Hook only",26100,1974-06-28,6,08:30:00,15:45:00,3,"H78","Central Sound","Percy_Washington",21.75
"16","PW_74_020_H78",61.729728,0,0,"Herring","Hook only",9900,1974-07-03,7,19:00:00,21:45:00,1,"H78","Central Sound","Percy_Washington",2.75
"17","PW_74_021_M66",56.60756683,0,0,"Herring","Hook only",12000,1974-07-04,7,10:40:00,14:00:00,2,"M66","Central Sound","Percy_Washington",6.66666666666667
"18","PW_74_022_P63",103.453125,0,0,"Herring","Hook only",3600,1974-07-04,7,09:00:00,10:00:00,2,"P63","Central Sound","Percy_Washington",2
"19","PW_74_023_L85",46.274509,0,0,"Herring","Hook only",20400,1974-07-05,7,09:40:00,15:20:00,3,"L85","Central Sound","Percy_Washington",17
"20","PW_74_024_L89",42.707317,0,0,"Herring","Hook only",6000,1974-07-05,7,15:20:00,17:00:00,3,"L89","Central Sound","Percy_Washington",5
"21","PW_74_025_H78",61.729728,0,0,"Herring","Hook only",7380,1974-07-07,7,19:37:00,21:40:00,3,"H78","Central Sound","Percy_Washington",6.15
"22","PW_74_026_G57",60.529411,0,0,"Herring","Hook only",14700,1974-07-12,7,15:40:00,19:45:00,3,"G57","Whidbey Island","Percy_Washington",12.25
"23","PW_74_027_H78",61.729728,0,0,"no bait","Artificial Lure",7200,1974-07-16,7,20:00:00,22:00:00,4,"H78","Central Sound","Percy_Washington",8
"24","PW_74_028_H78",61.729728,0,0,"no bait","Artificial Lure",7200,1974-07-19,7,19:30:00,21:30:00,3,"H78","Central Sound","Percy_Washington",6
"25","PW_74_029_I79",45.324325,0,0,"Herring","Hook only",22500,1974-07-23,7,09:15:00,15:30:00,2,"I79","Central Sound","Percy_Washington",12.5
"26","PW_74_030_I82",5.35714257142857,0,0,"Herring","Hook only",3600,1974-07-23,7,14:30:00,15:30:00,2,"I82","Central Sound","Percy_Washington",2
"27","PW_74_031_H79",7.98198166666667,0,0,"Herring","Hook only",6360,1974-07-24,7,19:14:00,21:00:00,3,"H79","Central Sound","Percy_Washington",5.3
"28","PW_74_032_P82",21.945945,0,0,"Herring","Hook only",11400,1974-07-25,7,09:25:00,12:35:00,4,"P82","Central Sound","Percy_Washington",12.6666666666667
"29","PW_74_034_I79",45.324325,0,0,"Herring","Hook only",3600,1974-07-30,7,14:00:00,15:00:00,1,"I79","Central Sound","Percy_Washington",1
"30","PW_74_035_L73",32.779998,0,2,"Herring","Hook only",18900,1974-08-07,8,10:45:00,16:00:00,4,"L73","Central Sound","Percy_Washington",21
"31","PW_74_038_I87",65.324325,0,0,"Herring","Hook only",7200,1974-08-11,8,09:30:00,11:30:00,2,"I87","Central Sound","Percy_Washington",4
"32","PW_74_039_G57",60.529411,0,1,"Herring","Hook only",5400,1974-08-12,8,16:00:00,17:30:00,2,"G57","Whidbey Island","Percy_Washington",3
