Survey Year,Trip identifier,Vessel name,Trip start date,Trip end date,GMA,PFMA,Set number,Set date,Start latitude,Start longitude,End latitude,End longitude,Bottom depth (m),Soak time (min),Hook size,Hook spacing (m),Hook count
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,1,8/17/2003,50.813333,-127.657666,50.808,-127.646,70,127,13/0,2.44,197
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,2,8/17/2003,50.877666,-127.6425,50.8715,-127.6295,55,128,13/0,2.44,230
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,5,12,3,8/17/2003,50.932666,-127.7695,50.927,-127.758666,85,127,13/0,2.44,222
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,5,12,4,8/17/2003,50.89635,-127.825183,50.900333,-127.809333,46,127,13/0,2.44,223
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,5,8/18/2003,50.865166,-127.460666,50.8645,-127.474,80,122,13/0,2.44,220
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,6,8/18/2003,50.888833,-127.4235,50.881666,-127.417,70,134,13/0,2.44,214
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,7,8/18/2003,50.88,-127.3875,50.887333,-127.396666,65,121,13/0,2.44,218
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,8,8/18/2003,50.876333,-127.235833,50.88,-127.248833,85,120,13/0,2.44,225
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,9,8/18/2003,50.842,-127.092833,50.848,-127.101666,93,121,13/0,2.44,220
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,10,8/19/2003,50.726583,-127.409466,50.7185,-127.415666,43,124,13/0,2.44,224
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,11,8/19/2003,50.903166,-127.0055,50.902166,-127.019833,45,126,13/0,2.44,212
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,5,11,13,8/20/2003,50.9465,-127.848833,50.948333,-127.834666,54,133,13/0,2.44,209
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,15,8/20/2003,50.868166,-126.678833,50.871333,-126.6915,65,127,13/0,2.44,222
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,16,8/21/2003,50.869,-126.653166,50.86365,-126.6644,65,111,13/0,2.44,224
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,17,8/21/2003,50.847833,-126.608833,50.849833,-126.621833,78,123,13/0,2.44,221
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,18,8/21/2003,50.8475,-126.7905,50.844833,-126.804,70,126,13/0,2.44,225
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,19,8/21/2003,50.8024,-126.800733,50.808283,-126.793733,45,138,13/0,2.44,215
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,20,8/21/2003,50.7705,-126.527166,50.7705,-126.513833,55,122,13/0,2.44,225
2003,50080,NEOCALIGUS,8/13/2003,9/9/2003,1,12,21,8/22/2003,50.674166,-126.692166,50.6735,-126.689166,55,124,13/0,2.44,220
