elevation,latitude,longitude
-56.60756683,47.9088,-122.5115
-112.3564835,48.1088,-122.3879739
-217.4857788,47.6588,-122.4867948
-42.85984421,47.64213333,-122.4373843
-161.159668,47.72546667,-122.3879739
-89.02838898,48.12546667,-122.8820784
-91.77871704,48.14213333,-122.8820784
-109.875351,48.19213333,-123.1291307
-0.142951444,47.59213333,-122.5609105
-10.27217865,47.62546667,-122.4867948
-0.142951444,47.59213333,-122.5609105
-25.1347065,48.1088,-122.6844366
-51.35608673,48.0588,-122.6103209
-3.170530558,48.0088,-122.5856157
