Year,Location,Species,Total Length (mm),Body Weight (kg)
74,L73,Bocaccio,507,1.90
74,L73,Bocaccio,506,1.62
74,Q10,Bocaccio,550,2.00
74,G57,Bocaccio,536,1.90
75,E65,Bocaccio,563,2.25
75,E65,Bocaccio,660,4.00
75,E65,Bocaccio,611,3.20
75,E65,Bocaccio,535,2.10
75,E65,Bocaccio,684,4.80
75,G57,Bocaccio,658,4.50
75,G57,Bocaccio,593,3.00
75,G57,Bocaccio,617,3.49
75,G57,Bocaccio,614,3.25
75,G57,Bocaccio,623,3.00
75,G57,Bocaccio,630,3.70
75,R110,Bocaccio,696,4.75
75,R110,Bocaccio,727,5.75
75,R110,Bocaccio,625,3.50
75,R110,Bocaccio,625,3.15
75,R110,Bocaccio,730,5.75
75,R110,Bocaccio,620,3.50
