"SampleYear","SpeciesID","PunchCardArea","length_cm"
1976,"410125",7,68
1976,"410125",9,68
1976,"410125",9,52
1977,"410125",6,26
1977,"410125",6,18
1977,"410125",6,20
1977,"410125",6,24
1977,"410125",6,31
1977,"410125",6,35
1977,"410125",6,23
1977,"410125",10,40
1977,"410125",11,66
1977,"410125",13,70
1977,"410125",13,65
1977,"410125",13,70
1977,"410125",13,84
1977,"410125",13,65
1977,"410125",13,70
1977,"410125",13,62
1977,"410125",13,42
1977,"410125",13,67
1977,"410125",13,63
1977,"410125",13,64
1978,"410125",7,40
1978,"410125",9,67
1978,"410125",11,78
1978,"410125",11,30
1978,"410125",11,30
1978,"410125",11,28
1978,"410125",11,28
1978,"410125",11,68
1978,"410125",11,27
1978,"410125",11,29
1978,"410125",11,24
1978,"410125",11,60
1978,"410125",11,77
1978,"410125",12,27
1978,"410125",13,70
1978,"410125",13,55
1978,"410125",13,75
1978,"410125",13,65
1978,"410125",13,68
1978,"410125",13,79
1978,"410125",13,69
1978,"410125",13,67
1978,"410125",13,29
1978,"410125",13,59
1978,"410125",13,73
1979,"410125",6,31
1979,"410125",6,69
1979,"410125",7,35
1979,"410125",7,34
1979,"410125",8,29
1979,"410125",8,35
1979,"410125",8,28
1979,"410125",9,29
1979,"410125",10,31
1979,"410125",10,28
1979,"410125",11,67
1979,"410125",11,42
1979,"410125",11,48
1979,"410125",11,40
1979,"410125",11,39
1979,"410125",11,31
1979,"410125",11,70
1979,"410125",11,64
1979,"410125",13,76
1979,"410125",13,74
1980,"410125",5,50
1980,"410125",9,42
1980,"410125",9,37
1980,"410125",9,27
1980,"410125",9,36
1980,"410125",11,77
1980,"410125",11,37
1980,"410125",11,41
1980,"410125",13,67
1981,"410125",5,33
1981,"410125",6,36
1981,"410125",7,28
1981,"410125",9,47
1981,"410125",11,76
1981,"410125",13,75
1981,"410125",13,64
1982,"410125",11,82
1982,"410125",11,48
1982,"410125",11,35
1982,"410125",11,39
1982,"410125",11,28
1982,"410125",11,30
1982,"410125",11,39
1982,"410125",11,37
1982,"410125",13,72
1982,"410125",13,73
1983,"410125",7,44
1983,"410125",11,47
1983,"410125",11,51
1983,"410125",11,40
1983,"410125",11,35
1983,"410125",11,38
1983,"410125",11,39
1983,"410125",11,43
1983,"410125",11,54
1983,"410125",11,44
1983,"410125",11,48
1983,"410125",13,49
1983,"410125",13,42
1984,"410125",5,43
1984,"410125",5,54
1984,"410125",5,49
1984,"410125",5,41
1984,"410125",5,57
1984,"410125",5,34
1984,"410125",6,33
1984,"410125",7,44
1984,"410125",11,67
1987,"410125",5,56
1987,"410125",5,54
1987,"410125",5,61
1987,"410125",13,66
1993,"410125",5,29
1994,"410125",5,35
1994,"410125",6,35
1996,"410125",7,33.4
1996,"410125",7,35
1996,"410125",7,33.4
1996,"410125",7,35
1998,"410125",5,43
1998,"410125",5,45
1998,"410125",5,43
1998,"410125",5,42
1998,"410125",5,47
1998,"410125",5,42
1999,"410125",11,70
1999,"410125",13,65
1999,"410125",13,65
1999,"410125",13,71
