"SampleYear","SpeciesID","PunchCardArea","length_cm"
1975,"410129",9,56
1975,"410129",10,65
1975,"410129",10,46
1975,"410129",10,44
1976,"410129",5,55
1976,"410129",5,55
1976,"410129",5,56
1976,"410129",7,83
1976,"410129",7,65
1976,"410129",7,33
1976,"410129",7,86
1976,"410129",7,29
1976,"410129",7,44
1976,"410129",7,48
1976,"410129",7,53
1976,"410129",7,62
1976,"410129",7,67
1976,"410129",7,56
1976,"410129",7,41
1976,"410129",7,44
1976,"410129",7,65
1976,"410129",7,31
1976,"410129",7,65
1976,"410129",7,72
1976,"410129",7,78
1976,"410129",9,71
1976,"410129",9,67
1976,"410129",9,67
1976,"410129",9,69
1976,"410129",9,64
1976,"410129",9,66
1977,"410129",5,52
1977,"410129",5,68
1977,"410129",6,35
1977,"410129",7,30
1977,"410129",7,36
1977,"410129",7,75
1977,"410129",7,76
1977,"410129",7,50
1977,"410129",7,36
1977,"410129",7,69
1977,"410129",7,48
1977,"410129",7,61
1977,"410129",7,69
1977,"410129",9,60
1977,"410129",9,36
1977,"410129",9,39
1977,"410129",9,67
1978,"410129",5,36
1978,"410129",5,40
1978,"410129",6,69
1978,"410129",6,68
1978,"410129",7,60
1978,"410129",7,60
1978,"410129",7,75
1978,"410129",7,62
1978,"410129",7,20
1978,"410129",7,76
1978,"410129",7,60
1978,"410129",7,62
1978,"410129",7,80
1978,"410129",7,63
1978,"410129",7,34
1978,"410129",7,73
1978,"410129",7,72
1978,"410129",7,34
1978,"410129",7,45
1978,"410129",7,71
1978,"410129",7,59
1978,"410129",7,66
1978,"410129",7,53
1978,"410129",7,72
1978,"410129",7,34
1978,"410129",7,33
1978,"410129",7,48
1978,"410129",7,49
1978,"410129",7,27
1978,"410129",7,59
1978,"410129",7,69
1978,"410129",7,32
1978,"410129",7,79
1978,"410129",7,69
1978,"410129",7,30
1978,"410129",7,36
1978,"410129",7,71
1978,"410129",7,67
1978,"410129",7,37
1978,"410129",7,62
1978,"410129",7,90
1978,"410129",7,54
1978,"410129",7,54
1978,"410129",7,60
1978,"410129",7,71
1978,"410129",7,43
1978,"410129",9,41
1978,"410129",9,59
1978,"410129",9,54
1978,"410129",9,39
1978,"410129",9,39
1978,"410129",9,47
1978,"410129",9,60
1978,"410129",9,30
1978,"410129",9,52
1978,"410129",10,34
1978,"410129",10,50
1978,"410129",10,41
1978,"410129",10,35
1978,"410129",10,53
1978,"410129",10,59
1978,"410129",10,29
1978,"410129",10,44
1978,"410129",10,35
1978,"410129",11,47
1978,"410129",11,47
1978,"410129",11,48
1978,"410129",11,50
1978,"410129",11,53
1978,"410129",11,48
1978,"410129",11,48
1978,"410129",11,44
1978,"410129",11,49
1978,"410129",11,64
1978,"410129",11,47
1978,"410129",11,57
1978,"410129",11,38
1978,"410129",11,47
1978,"410129",11,43
1978,"410129",11,46
1978,"410129",11,47
1978,"410129",11,45
1979,"410129",5,80
1979,"410129",5,66
1979,"410129",6,70
1979,"410129",6,71
1979,"410129",6,61
1979,"410129",6,78
1979,"410129",6,55
1979,"410129",6,41
1979,"410129",6,70
1979,"410129",6,71
1979,"410129",6,70
1979,"410129",6,77
1979,"410129",6,72
1979,"410129",6,66
1979,"410129",6,50
1979,"410129",6,72
1979,"410129",6,70
1979,"410129",6,76
1979,"410129",7,47
1979,"410129",7,47
1979,"410129",7,41
1979,"410129",7,38
1979,"410129",7,64
1979,"410129",7,46
1979,"410129",7,36
1979,"410129",7,54
1979,"410129",7,72
1979,"410129",7,42
1979,"410129",7,50
1979,"410129",7,50
1979,"410129",7,68
1979,"410129",7,43
1979,"410129",7,32
1979,"410129",7,54
1979,"410129",7,46
1979,"410129",7,42
1979,"410129",7,64
1979,"410129",7,52
1979,"410129",7,72
1979,"410129",7,63
1979,"410129",7,51
1979,"410129",7,34
1979,"410129",7,56
1979,"410129",7,58
1979,"410129",7,67
1979,"410129",7,73
1979,"410129",7,59
1979,"410129",7,65
1979,"410129",7,77
1979,"410129",7,63
1979,"410129",7,72
1979,"410129",7,70
1979,"410129",7,43
1979,"410129",7,76
1979,"410129",7,82
1979,"410129",7,53
1979,"410129",7,79
1979,"410129",7,70
1979,"410129",7,63
1979,"410129",7,77
1979,"410129",7,77
1979,"410129",7,52
1979,"410129",8,68
1979,"410129",8,60
1979,"410129",9,51
1979,"410129",9,68
1979,"410129",9,50
1979,"410129",10,36
1979,"410129",10,70
1979,"410129",10,43
1979,"410129",10,36
1979,"410129",10,29
1979,"410129",11,62
1979,"410129",11,53
1980,"410129",5,64
1980,"410129",5,54
1980,"410129",6,60
1980,"410129",6,71
1980,"410129",6,33
1980,"410129",6,72
1980,"410129",6,26
1980,"410129",6,64
1980,"410129",6,63
1980,"410129",6,13
1980,"410129",6,32
1980,"410129",6,38
1980,"410129",6,68
1980,"410129",6,47
1980,"410129",6,70
1980,"410129",6,55
1980,"410129",7,44
1980,"410129",7,49
1980,"410129",7,56
1980,"410129",7,65
1980,"410129",7,70
1980,"410129",7,57
1980,"410129",7,63
1980,"410129",8,69
1980,"410129",8,78
1980,"410129",8,48
1980,"410129",9,44
1980,"410129",9,39
1980,"410129",9,60
1980,"410129",9,70
1980,"410129",10,46
1980,"410129",11,49
1981,"410129",5,29
1981,"410129",5,30
1981,"410129",5,31
1981,"410129",5,30
1981,"410129",5,34
1981,"410129",5,31
1981,"410129",5,41
1981,"410129",5,40
1981,"410129",5,46
1981,"410129",5,36
1981,"410129",5,38
1981,"410129",5,53
1981,"410129",5,52
1981,"410129",5,59
1981,"410129",5,59
1981,"410129",5,59
1981,"410129",5,64
1981,"410129",5,58
1981,"410129",5,55
1981,"410129",5,30
1981,"410129",6,30
1981,"410129",6,65
1981,"410129",6,75
1981,"410129",6,69
1981,"410129",6,66
1981,"410129",6,83
1981,"410129",6,70
1981,"410129",6,44
1981,"410129",6,64
1981,"410129",6,56
1981,"410129",6,58
1981,"410129",6,61
1981,"410129",7,50
1981,"410129",7,51
1981,"410129",7,53
